kandidat,anzahl_bezirke,bezirke,gesamt_wahlberechtigte,anzahl_strassen_auf_karte,farbe
Björn Dittich,1,WBZ 110,900,1,#45B7D1
Christopher Seinsche,1,WBZ 100,906,0,#4ECDC4
Dagmar Schmitz,1,WBZ 30,905,13,#FFDAB9
Frank Schmitz,1,WBZ 150,931,0,#A8E6CF
Gisa Hauschildt,1,WBZ 10,976,16,#FF6B6B
Jörg Menne,1,WBZ 40,830,24,#E8B4B8
Jörg Reintsema,1,WBZ 20,956,32,#C7CEEA
Manfred Henry Daub,1,WBZ 90,859,0,#FFD93D
Markus Lang,1,WBZ 50,880,3,#95E1D3
Philipp Beck,1,WBZ 80,849,0,#FCBAD3
Roger Adolphs,1,WBZ 140,940,0,#6C5CE7
Stephan Rühl,1,WBZ 130,912,0,#98D8C8
Thomas Hellbusch,1,WBZ 70,932,17,#AA96DA
Thomas Schlegel,1,WBZ 160,946,0,#FF8B94
Titzian Crisci,1,WBZ 120,872,0,#FFA07A
Ulrike Herrgesell,1,WBZ 60,891,23,#F38181
