street,original,house_number,postal_code,city,full_address,wbz,bezirk,kandidat,farbe,wahlberechtigte,latitude,longitude,kreistagkandidat
Anemonenweg,Anemonenweg,,51588,Nümbrecht,"Anemonenweg, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.903157,7.5345047,Marcus Schmitz
Bahnhofstraße,Bahnhofstraße,,51588,Nümbrecht,"Bahnhofstraße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9087167,7.540799,Marcus Schmitz
Dorfplatz,Dorfplatz,,51588,Nümbrecht,"Dorfplatz, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9032372,7.5416675,Marcus Schmitz
Dr.,Dr.-Rieck-Straße,,51588,Nümbrecht,"Dr., 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9014973,7.5500526,Marcus Schmitz
Friedhofstraße,Friedhofstraße,,51588,Nümbrecht,"Friedhofstraße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9061651,7.5385063,Marcus Schmitz
Gärtnerweg,Gärtnerweg,,51588,Nümbrecht,"Gärtnerweg, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9062557,7.5436556,Marcus Schmitz
Kapellenweg,Kapellenweg,,51588,Nümbrecht,"Kapellenweg, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9088631,7.5444605,Marcus Schmitz
Lina,Lina-Friedrichs-Straße,,51588,Nümbrecht,"Lina, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9030022,7.5414121,Marcus Schmitz
Lindchenweg,Lindchenweg,,51588,Nümbrecht,"Lindchenweg, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9061896,7.5463694,Marcus Schmitz
Leo,Leo-Baer-Straße,,51588,Nümbrecht,"Leo, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9042478,7.5385338,Marcus Schmitz
Marktstraße,Marktstraße,,51588,Nümbrecht,"Marktstraße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9026605,7.5391761,Marcus Schmitz
Poststraße,Poststraße,,51588,Nümbrecht,"Poststraße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9031954,7.5445317,Marcus Schmitz
Parkstraße,Parkstraße,,51588,Nümbrecht,"Parkstraße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9035481,7.542955,Marcus Schmitz
Schulstraße,Schulstraße,,51588,Nümbrecht,"Schulstraße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9012939,7.538464,Marcus Schmitz
Schustergasse,Schustergasse,,51588,Nümbrecht,"Schustergasse, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9026286,7.5410559,Marcus Schmitz
Weiherstraße,Weiherstraße,,51588,Nümbrecht,"Weiherstraße, 51588 Nümbrecht",WBZ 10,WBZ 10 - Nümbrecht 1,Gisa Hauschildt,#FF6B6B,976,50.9039982,7.5448432,Marcus Schmitz
Akeleiweg,Akeleiweg,,51588,Nümbrecht,"Akeleiweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9007148,7.5364263,Marcus Schmitz
Arnikaweg,Arnikaweg,,51588,Nümbrecht,"Arnikaweg, 51588 Nümbrecht",WBZ 20,WBZ 20 - Nümbrecht 2,Jörg Reintsema,#4ECDC4,956,50.9017368,7.5327243,Marcus Schmitz
